reviewId,userName,content,score,thumbsUpCount,reviewCreatedVersion,at,appVersion,category
9404f83f-9cdf-4505-a1cc-f7f4e33040ec,shaista shamoon,"It's a good app but you still have to pay fees, but the transfers work a lot better than expected.",5,0,7.90.0 build 6 35325,2021-02-15 22:41:41,7.90.0 build 6 35325,money_transfers
c8576d23-c357-4964-bb93-c100272add79,Kusyalini Devi Vijee,All the fun in managing my finances with this app.,5,0,9.16.0 build 6 62648,2025-05-31 05:11:53,9.16.0 build 6 62648,budgeting
76df20f3-8f6a-4cdc-a317-9d0635c63861,Hector Midgley,"I enjoy using this app, and as a banking tool, I have had absolutely no problems with it.",5,0,7.80.0 build 10 35175,2020-11-05 00:49:49,7.80.0 build 10 35175,transaction_history
09bb385b-f6d1-4497-ba83-e6eff5a6e0d7,Favour Dennis,"Everything is perfect about it. The only issue is that when your account is inactive, your access to certain features will also disappear.",4,0,8.40.0 build 4 50271,2022-09-22 16:35:25,8.40.0 build 4 50271,customer_support
8455bd09-6041-4b5f-a997-f4811b708e71,Notandrea,This app has changed my financial life radically; it has exceeded my expectations. This app is simply the best tool invented for managing money.,5,0,7.84.1 build 28 35243,2021-09-27 10:54:50,7.84.1 build 28 35243,account_balance
32bd1b15-3ede-4e42-81ba-ab3960b38785,Aniket Patra,The best banking app in my opinion. Can't go for anything else at this moment.,5,0,7.84.1 build 28 35243,2020-12-10 08:59:01,7.84.1 build 28 35243,card_management
82b3597a-1785-4ec1-93dc-22cf7e85b616,Sweet Love,"Great, loving it! Only one thing: when you initiate a transfer on your phone, it goes back to the same part in the transaction history when you leave to check something else.",5,7,8.11.1 build 12 40101,2021-12-18 14:49:15,8.11.1 build 12 40101,transaction_history
bc3d7495-fb29-47f5-9d8c-98841306575b,dianna rollins,"Always better than all banking apps. More features, more great options, always a lot of choices.",5,0,8.56.0 build 12 50352,2023-02-05 15:34:04,8.56.0 build 12 50352,bill_payments
c579b40c-9b74-4eb7-ad63-42ed2f78f294,Cerena Sloan,"Love this app! Really wanted to get it again, but I don't know if I can trust them to not change my payment settings, as they tend to charge more unexpectedly. But I love this place so much!",5,0,8.129.0 build 5 50801,2024-11-01 08:43:28,8.129.0 build 5 50801,bill_payments
7532181f-bdcd-416a-be61-1f824db67b12,kazz myob,"Does what you'd expect. I don't really like managing my finances on my phone, so I mostly use it to check my balance on my computer while I'm exercising, which it is eminently reliable at doing.",5,3,8.8.0 build 9 40070,2021-11-19 18:21:16,8.8.0 build 9 40070,account_balance
3d081a64-4d13-4d34-a26d-bfc83a581853,Pegi Chaney,Very nice but I would change one thing... I would change that the most recent transactions you've made are at the very top. Thank you for reading! 😁,5,2,8.21.1 build 12 40185,2022-03-20 14:13:21,8.21.1 build 12 40185,transaction_history
1ba6ff7d-0a71-473d-a218-9563fe69c7d3,KRIPESH GHOSH.,Amazing app for managing my finances and tracking expenses. Just one request: I would love to see more budgeting tools available. I have the premium version.,5,0,7.58.0 build 26 34888,2020-05-26 16:14:29,7.58.0 build 26 34888,budgeting
24c0f8da-980d-49ad-b311-4494d348ca3d,Kieriay Brown,"Great app, but the only issue causing it to be 4 stars is that it often removes useful features. I understand needing to update, but it can be quite frustrating.",4,4,8.96.1 build 16 50568,2024-01-06 23:58:18,8.96.1 build 16 50568,customer_support
d963c7b7-f1eb-4ab7-af02-ea250420ec38,Shirley Jean Pilger,"Great variety of banking features, always available, take it anywhere. It has really helped me manage my finances during tough times, big thumbs up from me.",5,0,7.73.1 build 15 35102,2020-09-17 15:09:59,7.73.1 build 15 35102,money_transfers
f8521f2f-f11e-4b9a-9f37-e8f08353f1e4,A Google user,"Great, just an idea: while many are working from home, add a category called 'financial tips' filled with resources and tools to help manage money during this time.",5,1,7.49.0 build 19 34761,2020-03-25 20:18:51,7.49.0 build 19 34761,budgeting
de610cd9-6112-4695-bacd-d37cd9e37c45,revd helen pontin,I love this app. I recommend it to anyone who wants to manage their finances effectively. Try it out for yourselves; I don't think you will be disappointed.,5,0,7.84.1 build 28 35243,2020-12-27 03:54:29,7.84.1 build 28 35243,account_balance
452f6a74-8ce6-4820-9282-a0ecad709109,novi tri Nuraini,"When I want to resume my last payment, the transaction history didn't show the correct amount.",4,0,7.84.1 build 28 35243,2021-04-08 22:39:13,7.84.1 build 28 35243,transaction_history
